gender,age,married,number_of_dependents,zip_code,population,tenure_in_months,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,paperless_billing,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,cltv,internet_type_DSL,internet_type_Fiber Optic,internet_type_No Internet,contract_One Year,contract_Two Year,payment_method_Credit Card,payment_method_Mailed Check,churn_label
1,78,0,0,90067,2527,23,0,0.0,0,1,2,0,0,0,0,0,1,1,1,1,34.65,768.45,0.0,0,0.0,768.45,4,2307,False,False,False,False,False,False,False,0
0,22,0,0,92014,13945,56,1,35.59,0,1,69,0,1,0,0,0,0,1,1,1,73.85,4092.85,0.0,0,1993.04,6085.89,3,5276,False,True,False,False,False,False,False,1
0,79,0,0,94027,6876,28,1,28.14,1,1,10,0,0,1,1,1,1,0,1,1,103.3,2890.65,0.0,0,787.9200000000001,3678.57,2,4136,False,True,False,False,False,False,False,1
1,36,0,0,95558,300,26,1,14.3,1,1,20,0,0,0,0,0,1,1,1,1,83.95,2254.2,0.0,0,371.8,2626.0,1,5869,False,True,False,False,False,False,False,1
1,46,0,0,91901,16486,63,1,18.05,1,1,11,1,1,1,1,0,0,0,0,0,71.5,4576.3,0.0,70,1137.15,5783.450000000001,3,5342,True,False,False,True,False,False,False,0
0,80,0,0,91606,45358,1,1,15.24,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.24,60.34,1,2740,True,False,False,False,False,True,False,1
0,29,0,0,93301,12963,5,1,48.49,1,1,85,0,0,0,0,1,0,0,1,1,84.0,424.75,0.0,0,242.45,667.2,4,4456,False,True,False,False,False,False,False,0
0,68,1,3,92028,42239,4,1,42.13,0,1,52,0,0,0,0,0,0,0,1,0,46.0,181.6,0.0,0,168.52,350.12,1,4797,False,False,False,False,False,False,False,1
1,61,0,0,95111,57748,2,1,26.05,0,1,2,0,0,1,0,1,1,1,1,0,94.95,178.1,0.0,0,52.1,230.2,1,4493,False,True,False,False,False,False,False,1
1,33,1,0,90304,28680,27,1,9.01,0,1,5,1,0,0,0,0,0,0,1,0,48.7,1421.75,0.0,0,243.27,1665.02,3,3560,True,False,False,True,False,True,False,0
1,22,0,0,95246,1692,7,1,26.76,0,1,46,0,0,0,0,0,0,0,1,1,44.65,322.5,0.0,0,187.32,509.8200000000001,4,4300,True,False,False,False,False,False,False,0
0,73,0,0,95658,6096,2,0,0.0,0,1,13,0,0,1,0,0,0,0,1,1,30.4,78.65,0.0,0,0.0,78.65,1,4002,True,False,False,False,False,False,False,1
1,73,0,0,95635,1140,18,1,47.34,1,1,7,1,1,0,0,0,0,0,1,1,58.4,964.9,0.0,0,852.1200000000001,1817.02,4,2812,True,False,False,False,True,True,False,0
1,55,1,1,92595,19368,69,1,8.46,1,1,21,0,0,0,1,1,1,1,1,1,99.35,6856.45,0.0,0,583.74,7440.19,4,4637,False,True,False,False,True,False,False,0
0,47,0,0,92084,44692,23,0,0.0,0,1,14,0,0,0,0,1,1,1,0,1,44.95,996.85,25.84,40,0.0,1011.01,3,3248,True,False,False,False,False,False,False,0
1,38,0,0,91913,12884,12,1,13.88,1,1,8,0,0,0,0,1,1,1,1,0,94.55,1173.55,0.0,0,166.56,1340.11,5,5674,False,True,False,False,False,False,False,0
0,44,1,0,94947,24741,24,1,35.86,0,0,0,0,0,0,0,0,0,0,0,0,20.4,482.8,0.0,0,860.64,1343.44,5,3071,False,False,True,True,False,True,False,0
0,26,1,0,92225,24659,27,1,39.67,0,1,59,0,1,0,0,0,0,0,1,1,76.1,2093.4,30.14,0,1071.09,3134.3500000000004,3,3291,False,True,False,False,False,False,False,0
0,43,0,0,93304,44588,38,1,43.19,0,0,0,0,0,0,0,0,0,0,0,0,20.3,743.05,0.0,0,1641.2199999999998,2384.2699999999995,5,5919,False,False,True,False,True,True,False,0
1,63,0,0,91311,35325,43,1,34.0,0,1,11,1,0,0,0,0,0,0,1,1,75.2,3198.6,0.0,0,1462.0,4660.6,1,4673,False,True,False,False,False,False,False,1
0,58,1,0,90720,21343,52,0,0.0,0,1,8,1,0,1,0,0,0,0,1,0,35.45,1958.95,0.0,0,0.0,1958.95,4,5509,True,False,False,True,False,True,False,0
1,41,0,0,94564,16717,1,1,5.43,1,1,18,0,0,0,0,0,1,1,1,1,86.6,86.6,0.0,0,5.43,92.03,3,5228,False,True,False,False,False,False,False,1
0,43,1,2,90706,72893,57,1,12.26,0,0,0,0,0,0,0,0,0,0,0,0,19.75,1272.05,0.0,0,698.8199999999999,1970.87,5,4235,False,False,True,False,True,False,False,0
1,35,0,0,94102,28998,3,1,20.37,0,1,17,0,0,0,0,0,0,0,1,0,45.45,141.7,0.0,0,61.11,202.81,5,3666,False,False,False,False,False,True,False,0
1,42,1,0,95121,37127,17,1,17.71,1,1,13,0,0,0,0,1,1,1,1,1,92.55,1515.1,0.0,0,301.07,1816.17,3,5775,False,True,False,False,False,False,False,1
1,47,1,0,92086,1205,38,0,0.0,0,1,25,1,1,0,1,1,1,1,1,1,60.0,2193.2,0.0,0,0.0,2193.2,3,2187,False,False,False,False,True,False,False,0
0,63,1,1,92124,30206,72,1,31.83,1,1,14,1,1,1,1,1,1,1,1,1,116.85,8477.7,0.0,0,2291.76,10769.46,3,4055,False,True,False,False,True,False,False,0
1,39,0,0,92121,4258,43,1,49.64,1,1,27,0,1,0,0,1,1,1,1,1,101.4,4528.0,0.0,0,2134.52,6662.52,1,3370,False,True,False,False,False,False,False,1
1,64,0,0,91502,11517,50,1,40.83,0,1,21,1,1,0,1,0,1,1,1,1,93.5,4747.5,0.0,0,2041.5,6789.0,4,6367,False,True,False,False,False,True,False,0
1,65,1,0,93954,521,36,1,24.54,1,1,5,0,0,0,0,0,1,1,1,1,85.25,3132.75,0.0,0,883.4399999999999,4016.19,2,3041,False,True,False,False,False,True,False,1
0,30,0,0,95385,274,60,1,22.88,0,1,48,1,0,1,1,1,1,1,1,1,104.95,6236.75,0.0,0,1372.8,7609.55,4,5926,False,True,False,False,False,False,False,0
0,49,1,0,94801,28450,62,1,8.91,1,0,0,0,0,0,0,0,0,0,0,0,23.65,1416.75,0.0,0,552.42,1969.17,4,4671,False,False,True,False,True,False,False,0
0,58,0,3,94970,781,41,1,38.94,0,1,28,0,0,0,0,0,0,0,1,0,45.2,1841.9,0.0,0,1596.54,3438.44,5,4418,True,False,False,False,False,False,False,0
1,56,1,0,96120,957,68,1,11.94,0,1,3,1,1,1,0,0,1,1,1,0,70.95,4741.45,0.0,0,811.92,5553.37,3,5036,True,False,False,False,True,False,False,0
1,57,1,0,93921,2966,1,1,18.84,0,1,19,0,0,0,0,0,0,0,1,1,71.0,71.0,0.0,0,18.84,89.84,2,4207,False,True,False,False,False,False,False,1
0,44,0,0,92673,15297,69,1,1.85,1,1,13,0,0,1,1,1,1,1,1,0,104.0,7028.5,0.0,0,127.65,7156.15,5,5902,False,True,False,False,True,False,False,0
1,49,0,0,95354,27135,1,1,19.98,0,1,5,0,0,0,0,0,1,1,1,1,79.25,79.25,0.0,0,19.98,99.23,1,5533,False,True,False,False,False,False,False,1
0,26,1,0,93514,13309,72,1,28.59,1,1,58,0,1,0,0,1,1,1,1,1,97.7,6869.7,0.0,0,2058.48,8928.18,5,5406,False,True,False,False,True,True,False,0
1,23,0,0,90814,19034,7,1,18.83,1,1,26,0,0,0,0,0,1,1,1,1,85.2,602.55,0.0,0,131.81,734.3599999999999,1,3905,False,True,False,False,False,True,False,1
0,46,0,0,94010,40346,9,1,29.7,1,1,17,0,0,0,0,0,1,1,1,1,83.3,803.3,0.0,0,267.3,1070.6,2,3520,False,True,False,False,False,False,False,1
0,58,1,0,93667,2633,50,1,29.43,1,1,14,1,1,0,1,1,1,1,1,0,108.55,5610.7,0.0,0,1471.5,7082.2,2,4274,False,True,False,True,False,False,False,1
0,80,1,1,95916,1279,71,1,48.59,1,1,15,1,1,0,0,1,0,0,1,0,69.2,4982.5,0.0,0,3449.8900000000003,8432.39,4,5546,True,False,False,True,False,False,False,0
1,35,0,0,95569,400,12,0,0.0,0,1,6,0,1,0,1,0,0,0,1,0,34.0,442.45,0.0,0,0.0,442.45,3,3215,False,False,False,False,False,True,False,0
1,58,0,0,93923,13121,1,1,1.28,0,1,27,0,1,0,0,0,0,0,1,0,50.8,50.8,0.0,0,1.28,52.08,1,3718,True,False,False,False,False,False,False,1
1,28,0,1,94598,26022,13,1,19.17,0,1,59,1,0,0,0,0,0,1,1,1,52.1,670.65,0.0,0,249.21000000000004,919.86,3,4929,False,False,False,False,False,True,False,0
1,24,1,1,93451,2666,41,1,16.02,0,0,0,0,0,0,0,0,0,0,0,1,20.0,879.8,0.0,0,656.8199999999999,1536.62,3,5743,False,False,True,False,True,True,False,0
0,19,0,0,91706,76890,51,1,43.79,1,1,82,0,1,1,1,1,1,1,1,1,111.5,5703.25,0.0,0,2233.29,7936.54,4,4363,False,True,False,True,False,False,False,0
1,65,1,0,95128,32804,39,1,33.25,1,1,26,0,1,1,0,1,1,1,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,3,4687,False,True,False,False,False,False,False,1
0,34,0,0,95525,1584,2,1,39.5,0,1,26,0,0,0,0,0,0,0,1,1,45.25,74.2,0.0,0,79.0,153.2,3,5441,False,False,False,False,False,True,False,0
1,51,1,1,90263,11,72,1,24.95,1,1,13,1,1,1,1,1,1,1,1,0,114.45,8100.55,0.0,0,1796.4,9896.95,3,4700,False,True,False,False,True,False,False,0
1,32,0,0,95928,32848,1,1,39.3,0,1,26,1,0,0,0,0,0,0,1,0,51.25,51.25,0.0,0,39.3,90.55,4,4483,True,False,False,False,False,True,False,0
1,38,0,2,91108,13158,32,1,16.94,0,0,0,0,0,0,0,0,0,0,0,0,20.5,696.8,0.0,0,542.08,1238.88,4,3114,False,False,True,False,True,True,False,0
0,26,1,0,96140,1943,13,1,43.56,1,1,52,0,1,1,0,1,0,0,1,0,94.1,1215.6,0.0,0,566.28,1781.88,1,2973,False,True,False,False,False,False,False,1
0,47,1,0,92211,19702,26,1,15.37,0,1,11,0,0,0,0,1,1,1,1,1,90.8,2361.8,0.0,0,399.62,2761.42,1,2641,False,True,False,False,False,False,False,1
0,31,0,0,95356,26055,12,1,2.57,0,1,25,0,1,0,0,0,1,1,1,1,84.6,1017.35,0.0,0,30.839999999999996,1048.19,5,4807,False,True,False,False,False,False,False,0
1,25,1,3,91101,16812,13,1,6.18,0,1,59,0,0,0,0,0,0,0,0,0,44.8,559.2,37.49,90,80.34,692.0500000000001,3,4680,False,False,False,False,False,False,False,0
1,45,0,0,92881,21911,11,1,17.12,0,0,0,0,0,0,0,0,0,0,0,0,19.55,223.15,26.32,0,188.32,385.15,3,5433,False,False,True,False,True,True,False,0
1,71,1,0,95306,986,43,1,4.59,1,1,5,0,1,0,1,1,0,0,1,1,94.3,3953.15,0.0,0,197.37,4150.52,3,2040,False,True,False,True,False,False,False,0
1,42,1,2,92019,40995,5,1,17.37,1,1,15,1,1,0,1,0,0,0,1,0,64.4,316.9,0.0,0,86.85000000000001,403.75,3,3260,True,False,False,False,False,True,False,0
0,42,0,0,93610,19391,1,1,28.18,0,0,0,0,0,0,0,0,0,0,0,1,20.25,20.25,0.0,0,28.18,48.43,4,5854,False,False,True,False,False,True,False,0
1,37,1,3,93251,302,53,1,33.31,1,0,0,0,0,0,0,0,0,0,0,0,25.55,1336.1,37.37,0,1765.43,3064.16,3,5794,False,False,True,False,True,True,False,0
1,50,0,0,93529,618,66,1,45.54,0,0,0,0,0,0,0,0,0,0,0,0,19.7,1253.8,0.0,0,3005.64,4259.44,3,4601,False,False,True,False,True,False,False,0
1,35,0,0,95910,118,2,1,15.83,0,0,0,0,0,0,0,0,0,0,0,0,20.25,36.8,0.0,0,31.66,68.46,4,5736,False,False,True,False,False,True,False,0
1,30,1,0,91344,48867,72,0,0.0,0,1,47,1,1,1,1,0,1,1,1,1,55.45,4179.2,0.0,0,0.0,4179.2,3,4556,False,False,False,False,True,True,False,0
1,75,1,0,93634,52,30,1,33.48,1,1,22,1,1,1,1,1,0,0,1,1,105.7,3181.8,0.0,0,1004.4,4186.2,5,2455,False,True,False,False,False,False,False,0
0,43,1,2,93313,25126,37,1,1.6,1,1,11,0,0,0,0,1,1,1,1,1,95.25,3314.15,0.0,0,59.2,3373.35,4,2969,False,True,False,False,False,False,False,0
1,58,1,0,95306,986,67,1,11.74,1,0,0,0,0,0,0,0,0,0,0,0,25.6,1784.9,0.0,0,786.58,2571.48,3,4879,False,False,True,False,True,True,False,0
0,23,1,0,92273,1632,22,1,4.01,0,1,53,0,1,0,0,0,1,1,1,0,83.3,1845.9,0.0,0,88.22,1934.12,1,3804,False,False,False,False,False,False,False,1
1,53,0,0,91103,27891,3,1,39.38,0,1,23,0,0,0,0,0,0,0,1,0,69.65,220.1,0.0,0,118.14,338.24,2,2421,False,True,False,False,False,False,False,1
0,21,1,3,92075,12173,51,1,19.9,1,1,59,0,0,1,0,0,1,1,1,1,90.15,4554.85,0.0,0,1014.9,5569.75,3,5692,False,True,False,True,False,False,False,0
1,23,0,0,94951,3777,5,1,26.86,0,1,71,0,0,1,1,0,0,0,1,0,56.15,291.45,0.0,0,134.3,425.75,4,5232,True,False,False,False,False,False,False,0
0,30,1,2,93201,1054,23,1,34.91,1,1,30,0,0,0,0,1,0,0,1,1,83.75,1849.95,0.0,0,802.93,2652.88,4,3585,False,True,False,False,False,False,False,0
0,40,1,3,95901,38091,16,1,12.82,0,0,0,0,0,0,0,0,0,0,0,0,19.35,275.9,33.24,0,205.12,447.78,5,4146,False,False,True,False,False,True,False,0
1,57,0,1,91042,26753,29,0,0.0,0,1,21,1,1,1,1,0,0,0,1,1,45.0,1242.45,12.26,0,0.0,1230.19,4,3290,True,False,False,False,False,True,False,0
0,63,0,0,93257,65566,48,1,23.76,1,0,0,0,0,0,0,0,0,0,0,0,24.55,1203.95,36.04,0,1140.48,2308.3900000000003,5,5517,False,False,True,True,False,False,False,0
1,60,1,1,95460,2229,68,1,2.71,1,0,0,0,0,0,0,0,0,0,0,1,24.0,1664.3,0.0,0,184.28,1848.58,4,5440,False,False,True,False,True,False,False,0
1,49,1,2,91006,30028,72,1,27.93,1,0,0,0,0,0,0,0,0,0,0,1,25.1,1790.8,46.81,0,2010.96,3754.95,3,4185,False,False,True,False,True,True,False,0
0,42,0,0,95374,1960,15,1,42.83,1,1,21,0,1,0,0,0,0,0,1,1,79.75,1111.85,0.0,0,642.4499999999999,1754.2999999999995,3,2813,False,True,False,False,False,False,False,1
1,78,0,0,92821,34055,5,1,17.13,0,1,9,0,0,0,0,0,0,0,1,1,71.45,371.6,0.0,0,85.64999999999999,457.25,4,5171,False,True,False,False,True,True,False,0
1,43,1,3,95965,17782,72,1,6.95,0,1,57,1,0,1,1,1,1,1,1,1,104.9,7559.55,0.0,0,500.4,8059.95,4,5169,False,True,False,False,True,True,False,0
1,67,0,0,95608,58830,14,1,16.32,1,1,11,0,0,0,0,0,0,0,1,1,74.95,1036.75,39.29,0,228.48,1225.94,3,2075,False,True,False,False,False,False,False,1
1,19,1,3,94603,31392,62,1,15.76,1,1,59,1,1,0,0,1,0,1,1,1,94.95,5791.85,0.0,0,977.12,6768.97,4,4262,False,True,False,True,False,True,False,0
1,25,1,0,92835,21157,71,1,3.57,1,1,52,1,1,1,1,1,1,1,1,0,90.4,6668.05,0.0,0,253.47,6921.52,3,5633,True,False,False,False,True,False,False,0
0,42,0,0,95673,14010,7,1,8.29,0,1,21,0,0,1,1,0,1,1,1,0,62.8,418.3,0.0,0,58.029999999999994,476.33,4,4080,True,False,False,False,False,False,False,0
1,26,1,0,95607,262,42,0,0.0,0,1,59,0,0,0,0,0,0,1,1,1,25.1,1097.15,0.0,0,0.0,1097.15,3,4959,True,False,False,False,False,True,False,0
0,60,1,0,91752,18980,52,1,29.23,1,1,30,0,1,1,0,1,0,0,1,0,94.6,5025.8,0.0,0,1519.96,6545.76,3,6212,False,True,False,False,False,False,False,0
1,61,0,0,93602,3464,9,0,0.0,0,1,14,1,0,1,1,0,1,1,1,0,50.8,463.6,0.0,0,0.0,463.6,4,5535,True,False,False,True,False,False,True,0
1,49,0,0,93244,293,23,1,16.28,1,1,2,0,0,1,1,1,1,1,1,1,104.05,2470.1,0.0,0,374.44000000000005,2844.54,1,5963,False,True,False,False,False,True,False,1
0,37,0,0,90715,20890,23,1,24.04,0,1,22,1,0,0,0,0,0,0,1,1,75.0,1778.5,0.0,0,552.92,2331.42,4,2221,False,True,False,False,False,False,False,0
1,74,1,0,96074,263,10,1,46.5,1,1,4,0,0,0,0,0,1,0,1,1,86.65,856.65,0.0,0,465.0,1321.65,1,4990,False,False,False,False,False,False,False,1
0,34,0,0,94030,20350,13,1,38.4,1,1,23,1,0,1,0,1,1,1,0,1,78.75,995.35,0.0,50,499.2,1544.55,4,5631,True,False,False,False,False,False,False,0
0,19,1,2,96103,1839,8,1,13.21,0,0,0,0,0,0,0,0,0,0,0,0,19.5,162.15,0.0,0,105.68,267.83000000000004,5,3598,False,False,True,False,True,True,False,0
1,77,1,1,95832,9063,71,1,32.12,0,0,0,0,0,0,0,0,0,0,0,0,19.8,1388.45,0.0,0,2280.52,3668.97,4,5819,False,False,True,False,True,True,False,0
1,54,0,0,90740,24180,39,1,36.93,1,1,12,0,1,0,0,0,0,0,1,0,81.4,3213.75,0.0,0,1440.27,4654.02,4,4104,False,True,False,True,False,True,False,0
1,53,0,0,94021,148,10,1,18.03,0,1,6,1,1,1,1,1,1,1,1,1,110.1,1043.3,0.0,0,180.3,1223.6,1,5803,False,True,False,False,False,False,False,1
0,40,1,0,92304,42,2,1,22.23,1,1,13,0,0,0,0,1,0,0,1,1,84.05,134.05,0.0,0,44.46,178.51000000000002,5,2115,False,True,False,False,False,False,False,0
1,37,1,2,92646,56517,60,1,43.24,0,1,28,1,1,1,0,0,0,0,1,0,60.5,3694.45,0.0,0,2594.4,6288.85,3,6026,True,False,False,False,True,False,False,0
1,44,0,0,95045,3402,4,0,0.0,0,1,20,0,0,0,0,1,1,1,0,1,44.55,174.3,0.0,10,0.0,184.3,2,5605,False,False,False,False,False,False,False,1
0,35,1,3,91006,30028,4,1,41.93,0,1,53,0,0,0,0,1,0,0,1,1,78.9,299.75,37.01,0,167.72,430.46,4,5775,False,True,False,False,False,True,False,0
1,45,0,0,92861,5935,16,0,0.0,0,1,27,1,1,1,1,1,0,0,1,0,54.85,916.15,0.0,0,0.0,916.15,4,2136,True,False,False,False,True,True,False,0
0,58,1,2,90241,40152,1,1,48.79,0,0,0,0,0,0,0,0,0,0,0,1,19.4,19.4,0.0,0,48.79,68.19,5,3160,False,False,True,False,False,True,False,0
1,53,1,0,96008,899,30,1,23.16,0,1,6,0,0,1,0,0,0,0,1,1,50.0,1474.9,0.0,0,694.8,2169.7,4,4715,True,False,False,False,False,True,False,0
1,21,1,0,94520,36186,1,1,32.08,0,1,73,0,0,0,0,0,0,1,1,0,44.7,44.7,0.0,0,32.08,76.78,3,3700,True,False,False,False,False,True,False,1
0,75,0,0,95838,34894,16,1,36.83,0,1,16,0,0,0,1,1,0,0,1,0,59.4,1023.9,0.0,0,589.28,1613.1799999999998,1,5556,True,False,False,False,False,False,False,1
0,79,1,0,95250,88,26,1,18.66,1,1,11,0,0,1,0,1,1,0,1,1,98.1,2510.7,44.17,0,485.16,2951.6899999999996,4,3114,False,True,False,False,True,False,False,0
0,51,1,0,95444,390,20,1,43.49,0,1,28,0,0,0,0,0,0,0,1,1,69.8,1540.35,0.0,0,869.8000000000001,2410.15,5,5456,False,True,False,False,False,False,False,0
1,63,0,0,95307,32881,1,1,14.42,0,1,27,0,0,0,0,0,0,0,0,1,70.35,70.35,0.0,10,14.42,94.77,5,2722,False,True,False,False,False,False,False,0
0,37,0,0,93304,44588,49,1,20.45,0,1,23,1,1,1,1,0,0,0,1,0,67.4,3306.85,0.0,0,1002.05,4308.9,3,5075,False,False,False,False,True,False,False,0
1,56,0,0,93307,59195,29,1,9.49,1,1,21,0,0,0,0,0,1,1,1,1,84.9,2516.2,47.04,0,275.21,2744.37,3,4388,False,True,False,False,False,False,False,0
1,34,0,0,96090,405,65,1,44.7,0,0,0,0,0,0,0,0,0,0,0,1,19.55,1218.65,0.0,0,2905.5,4124.15,5,4309,False,False,True,False,True,True,False,0
0,29,1,2,95941,452,51,1,2.53,0,1,71,1,1,0,0,0,0,0,1,1,79.15,4018.55,0.0,0,129.03,4147.58,3,6321,False,True,False,False,False,False,False,0
0,41,0,3,92021,61872,25,1,12.87,0,0,0,0,0,0,0,0,0,0,0,0,20.05,471.7,0.0,0,321.75,793.45,5,2192,False,False,True,False,False,True,False,0
0,60,1,0,90638,47568,21,1,27.66,1,1,8,0,0,0,0,1,1,1,0,1,94.3,1948.35,0.0,30,580.86,2559.21,3,2058,False,True,False,False,False,False,False,0
0,74,0,0,93516,2241,30,0,0.0,0,1,7,0,0,1,0,1,0,0,0,1,40.3,1172.95,0.0,100,0.0,1272.95,2,3016,False,False,False,False,False,False,False,1
0,51,1,0,95837,264,72,0,0.0,0,1,15,0,1,1,0,1,1,1,1,1,54.2,3937.45,0.0,0,0.0,3937.45,3,4481,False,False,False,False,True,False,False,1
0,27,1,0,95660,32202,48,1,49.88,0,1,42,0,1,1,0,0,1,1,1,1,65.65,3094.65,0.0,0,2394.24,5488.89,3,5427,True,False,False,True,False,False,False,0
1,31,0,0,92592,46171,67,1,4.72,0,0,0,0,0,0,0,0,0,0,0,1,19.8,1311.3,0.0,0,316.24,1627.54,3,4260,False,False,True,False,True,True,False,0
0,59,1,0,94020,1622,71,1,33.0,1,0,0,0,0,0,0,0,0,0,0,1,24.45,1681.6,0.0,0,2343.0,4024.6,5,4742,False,False,True,False,True,True,False,0
1,64,1,0,91746,30802,44,1,27.4,0,0,0,0,0,0,0,0,0,0,0,1,20.5,865.05,0.0,0,1205.6,2070.6499999999996,3,3093,False,False,True,True,False,False,False,0
1,28,1,0,93035,25322,23,1,37.95,0,1,27,1,0,0,1,1,1,1,1,1,99.85,2331.3,0.0,0,872.85,3204.15,1,3425,False,True,False,False,False,False,False,1
0,49,1,2,95827,19611,58,1,40.74,0,1,17,0,1,1,0,1,0,0,1,1,91.55,5511.65,0.0,0,2362.92,7874.57,3,6423,False,True,False,False,False,False,False,0
0,43,1,1,95526,695,3,0,0.0,0,1,19,0,0,0,1,0,0,0,0,1,31.0,95.05,0.0,20,0.0,115.05,3,5122,True,False,False,False,False,True,False,1
0,34,1,0,93722,60889,4,1,29.14,0,0,0,0,0,0,0,0,0,0,0,0,19.6,93.45,0.0,0,116.56,210.01,4,4580,False,False,True,False,False,True,False,0
