gender,age,married,number_of_dependents,zip_code,population,tenure_in_months,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,paperless_billing,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,churn_label,cltv,internet_type_DSL,internet_type_Fiber Optic,internet_type_No Internet,contract_One Year,contract_Two Year,payment_method_Credit Card,payment_method_Mailed Check
0,77,0,0,92509,63999,5,0,0.0,0,1,26,0,1,0,0,0,0,0,1,0,28.45,131.05,0.0,0,0.0,131.05,2,1,4099,True,False,False,False,False,False,False
0,77,0,0,92544,39264,20,1,48.73,1,1,12,0,1,1,0,0,1,0,0,1,94.1,1782.4,0.0,80,974.6,2837.0,1,1,2666,False,True,False,False,False,False,False
0,72,1,0,92557,46214,5,1,45.76,1,1,22,0,0,0,0,0,0,0,1,1,74.35,334.8,0.0,0,228.8,563.6,1,1,5273,False,True,False,False,False,False,False
0,80,1,0,92571,26357,27,1,7.02,0,1,25,1,0,0,0,0,0,0,1,1,75.2,1929.35,0.0,0,189.54,2118.89,1,1,4517,False,False,False,False,False,False,False
0,74,0,0,92807,36301,4,1,48.35,1,1,24,0,0,1,0,1,0,0,1,1,89.2,346.2,0.0,0,193.4,539.6,1,1,5808,False,False,False,False,False,False,False
0,68,0,0,92823,1408,1,1,45.81,1,1,21,0,0,0,0,1,0,0,1,1,85.7,85.7,0.0,0,45.81,131.51,1,1,4880,False,True,False,False,False,False,False
0,78,1,0,92887,20893,65,1,18.39,1,1,28,1,0,1,0,1,1,0,1,0,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,4196,False,True,False,False,False,False,False
1,75,1,0,93067,576,49,1,22.92,1,1,14,0,1,0,0,0,1,0,1,0,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,1,5059,False,True,False,False,False,True,False
1,77,1,0,93101,31727,43,1,14.52,1,1,5,0,1,1,1,1,1,0,1,1,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,2728,False,True,False,False,False,False,False
1,80,1,0,93201,1054,56,1,48.8,1,1,12,1,0,1,0,1,1,0,1,1,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1,1,6268,False,True,False,True,False,False,False
1,75,1,0,93208,191,20,1,5.31,1,1,10,0,0,0,0,1,1,1,1,1,94.55,1899.65,0.0,0,106.2,2005.85,1,1,5604,False,True,False,False,False,False,False
0,69,0,0,93215,37280,2,1,47.47,1,1,19,0,1,0,0,0,1,1,1,0,89.5,161.5,0.0,0,94.94,256.44,2,1,2065,False,True,False,False,False,False,False
0,74,0,0,93224,626,8,1,27.95,0,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0,223.6,387.9,2,1,5432,False,False,True,False,False,False,False
1,76,0,0,92592,46171,52,0,0.0,0,1,18,0,1,0,0,1,1,1,0,1,49.15,2550.9,0.0,30,0.0,2580.9,2,1,5597,True,False,False,False,False,False,False
1,69,0,0,92129,47224,2,1,43.99,0,1,27,1,0,0,0,0,0,0,1,1,49.25,91.1,0.0,0,87.98,179.07999999999998,2,1,3475,True,False,False,False,False,False,False
1,72,1,0,92129,47224,33,1,27.78,1,1,8,0,0,0,0,1,1,0,1,1,94.5,3105.55,0.0,0,916.74,4022.29,3,1,4333,False,True,False,False,False,False,False
0,69,0,0,92129,47224,30,1,45.88,1,1,19,1,1,1,0,0,0,0,1,0,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,2482,False,True,False,False,False,True,False
1,73,0,0,92129,47224,20,1,44.44,1,1,13,0,0,1,0,1,1,0,0,1,98.55,1842.8,0.0,120,888.8,2851.6,3,1,5444,False,True,False,False,False,False,False
0,65,0,0,93606,807,46,1,2.37,1,1,20,1,1,1,0,1,1,1,1,1,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,2403,False,True,False,True,False,False,False
1,74,1,0,93662,26213,7,1,21.91,1,1,11,0,0,0,0,1,1,0,1,1,95.6,644.35,0.0,0,153.37,797.72,3,1,3265,False,False,False,False,False,False,False
0,65,0,0,93675,3146,4,1,36.93,0,1,18,0,0,0,0,1,0,0,1,1,78.85,292.8,0.0,0,147.72,440.52,3,1,5301,False,True,False,False,False,False,False
0,66,0,0,93706,35790,55,1,37.38,1,1,7,0,0,1,0,1,1,1,0,1,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,5679,False,True,False,True,False,False,False
1,71,1,0,93928,254,20,1,5.37,0,1,24,0,1,0,0,0,0,0,1,1,73.65,1463.5,0.0,0,107.4,1570.9,1,1,5849,False,True,False,False,False,False,False
1,65,0,0,94102,28998,9,1,48.71,1,1,15,0,0,1,0,1,1,1,1,1,100.5,918.6,0.0,0,438.39,1356.99,1,1,4038,False,True,False,False,False,False,False
1,69,0,0,94108,13723,10,1,5.46,0,1,24,0,1,0,0,0,0,0,0,1,72.85,688.65,0.0,30,54.6,773.25,1,1,3189,False,True,False,False,False,False,False
1,75,1,0,94114,30587,1,1,36.92,1,1,6,0,0,0,0,0,0,0,1,1,73.55,73.55,0.0,0,36.92,110.47,2,1,4369,False,True,False,False,False,False,False
0,75,0,0,94130,1458,3,1,41.9,1,1,11,0,1,0,0,0,0,0,1,1,79.4,205.05,0.0,0,125.7,330.75,1,1,3501,False,True,False,False,False,False,False
0,68,0,0,94304,1723,4,1,6.68,1,1,17,0,0,0,0,0,1,0,1,1,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,2467,False,False,False,False,False,False,False
1,71,0,0,94512,138,35,1,20.83,1,1,19,0,0,1,0,1,1,0,0,1,99.05,3395.8,0.0,120,729.05,4244.85,1,1,2074,False,True,False,False,False,False,False
1,80,0,0,94514,10153,2,1,26.62,0,1,11,0,0,0,0,0,0,0,1,0,44.95,85.15,0.0,0,53.24,138.39,2,1,5900,True,False,False,False,False,True,False
1,66,0,0,94539,46917,8,1,11.57,0,1,27,1,0,0,1,1,1,1,1,0,100.3,832.35,0.0,0,92.56,924.91,1,1,5084,False,True,False,False,False,True,False
1,73,1,0,94550,75929,44,0,0.0,0,1,28,0,1,0,0,0,0,0,1,1,30.35,1359.7,0.0,0,0.0,1359.7,1,1,4829,False,False,False,False,False,False,False
1,77,1,0,94558,63947,62,1,7.11,1,1,16,0,1,1,0,1,1,1,1,1,103.75,6383.35,0.0,0,440.82,6824.17,1,1,5052,False,True,False,True,False,False,False
0,76,1,0,94566,36669,33,1,33.19,1,1,15,0,1,0,0,0,0,0,1,1,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,3601,False,False,False,False,False,False,False
0,65,0,0,94583,44078,4,1,49.5,1,1,23,0,0,0,0,1,1,1,1,1,94.3,424.45,0.0,0,198.0,622.45,2,1,5419,False,True,False,False,False,False,False
1,75,1,0,94588,28568,27,1,10.6,1,1,23,0,0,0,0,0,0,0,1,1,75.5,1893.95,0.0,0,286.2,2180.15,1,1,2377,False,True,False,False,False,False,False
1,75,0,0,94704,21205,8,1,40.45,1,1,29,0,0,1,0,1,1,0,1,1,100.6,819.4,0.0,0,323.6,1143.0,1,1,5906,False,True,False,False,False,False,False
0,68,1,0,94707,11889,3,1,25.77,0,1,2,1,0,0,1,1,0,0,1,1,88.3,273.75,0.0,0,77.31,351.06,1,1,4486,False,True,False,False,False,False,True
0,71,0,0,94710,8157,8,1,42.93,0,1,9,0,0,1,0,1,1,0,1,1,92.1,729.95,0.0,0,343.44,1073.39,1,1,5662,False,True,False,False,False,False,False
1,74,0,0,94904,12010,14,1,11.31,0,1,24,0,0,0,0,1,1,0,1,0,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,1,4777,False,True,False,False,False,True,False
1,77,0,0,94933,1025,12,0,0.0,0,1,10,0,0,1,1,0,1,0,1,1,43.65,526.95,0.0,0,0.0,526.95,1,1,2437,True,False,False,False,False,False,False
0,73,0,0,95019,4753,13,1,40.37,0,1,21,0,0,1,0,0,0,0,1,1,74.3,940.35,0.0,0,524.81,1465.16,1,1,2995,False,True,False,False,False,False,False
0,68,0,0,95020,49968,11,1,3.96,0,1,27,0,0,0,0,1,1,0,1,0,89.7,1047.7,0.0,0,43.56,1091.26,2,1,2202,False,True,False,False,False,False,False
1,74,1,0,95030,13290,17,1,28.18,1,1,16,0,0,1,0,1,1,0,1,1,100.45,1622.45,0.0,0,479.06,2101.51,3,1,5508,False,False,False,False,False,True,False
1,65,1,0,95128,32804,39,1,33.25,1,1,26,0,1,1,0,1,1,1,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,4687,False,True,False,False,False,False,False
0,73,1,0,95135,15798,11,1,17.25,1,1,27,0,0,1,1,1,1,0,1,1,104.05,1133.65,0.0,0,189.75,1323.4,3,1,4553,False,True,False,False,False,False,False
0,74,1,0,95232,21,3,1,3.29,0,1,9,0,0,0,0,1,0,0,1,1,80.4,224.05,0.0,0,9.87,233.92,2,1,3834,False,True,False,False,False,False,False
1,80,0,0,95310,2144,21,1,34.62,0,1,14,0,0,1,0,1,0,0,1,1,60.05,1236.15,0.0,0,727.02,1963.17,1,1,4716,True,False,False,False,False,False,False
0,76,0,0,92027,48690,16,1,38.75,1,1,16,0,0,0,0,1,1,0,1,1,96.15,1529.2,0.0,0,620.0,2149.2,2,1,5913,False,True,False,False,False,False,False
0,73,0,0,90712,30173,46,1,6.13,0,1,30,0,1,0,0,1,1,0,1,0,95.25,4424.2,0.0,0,281.98,4706.18,2,1,3180,False,True,False,True,False,True,False
0,70,1,0,95439,476,68,1,24.13,1,1,24,0,1,0,0,0,1,0,1,1,89.6,6127.6,0.0,0,1640.84,7768.44,1,1,5651,False,True,False,False,False,False,False
1,75,1,0,95464,2223,7,1,13.63,0,1,27,0,0,0,0,1,1,0,1,1,89.5,676.7,0.0,0,95.41,772.11,2,1,3077,False,True,False,False,False,False,False
1,74,1,0,95511,261,15,1,45.25,1,1,22,0,0,0,0,0,1,0,1,1,85.6,1345.55,0.0,0,678.75,2024.3,1,1,4981,False,False,False,False,False,False,False
1,76,0,0,95524,1689,16,1,19.18,1,1,22,0,0,0,0,1,0,0,1,1,86.6,1281.0,0.0,0,306.88,1587.88,3,1,2508,False,True,False,False,False,False,False
0,75,0,0,95551,1447,1,1,29.68,0,1,18,0,0,0,0,0,0,0,1,1,69.25,69.25,0.0,0,29.68,98.93,2,1,4371,False,False,False,False,False,False,False
0,74,0,0,95562,3284,1,0,0.0,0,1,5,0,0,0,0,0,0,0,1,1,25.2,25.2,0.0,0,0.0,25.2,1,1,5688,False,False,False,False,False,False,False
0,73,0,0,95618,648,13,1,19.03,1,1,24,0,0,0,0,1,1,1,1,1,95.05,1290.0,0.0,0,247.39,1537.39,1,1,2230,False,True,False,False,False,False,False
0,69,0,0,95630,51855,1,1,20.06,0,1,24,0,0,0,0,1,0,0,1,1,79.2,79.2,0.0,0,20.06,99.26,3,1,4363,False,True,False,False,False,False,False
0,75,1,0,95653,844,34,1,2.88,1,1,4,0,1,1,0,0,1,0,1,1,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,1,3369,False,True,False,False,False,False,False
0,65,0,0,95668,901,4,1,12.68,0,1,10,0,1,1,0,1,1,1,1,1,99.8,442.85,0.0,0,50.72,493.5700000000001,1,1,2268,False,True,False,False,False,True,False
0,77,0,0,95681,1219,2,1,19.27,1,1,18,0,0,0,0,1,1,0,1,1,93.85,170.85,0.0,0,38.54,209.39,3,1,4193,False,True,False,False,False,False,False
1,67,0,0,95692,3600,9,1,30.8,1,1,18,0,0,0,0,0,1,0,1,1,84.4,732.5,0.0,0,277.2,1009.7,2,1,5745,False,True,False,False,False,True,False
0,78,0,0,95742,299,5,1,42.33,0,1,9,0,0,1,0,0,0,0,1,1,75.55,349.65,0.0,0,211.65,561.3,1,1,4028,False,True,False,False,False,True,False
1,65,0,0,95923,86,22,1,40.18,1,1,8,0,0,0,0,1,1,1,0,1,96.7,2082.95,0.0,100,883.96,3066.91,1,1,4458,False,True,False,False,False,False,False
1,74,0,0,95935,614,19,1,39.97,1,1,9,0,1,0,0,1,0,0,1,1,88.2,1775.8,0.0,0,759.43,2535.23,1,1,5683,False,True,False,False,False,False,False
1,70,0,0,95942,1351,15,1,46.38,1,1,19,0,0,0,0,0,0,0,1,0,75.65,1146.65,0.0,0,695.7,1842.35,3,1,2099,False,True,False,False,False,False,False
1,69,0,0,95949,17922,1,1,11.34,1,1,20,0,0,0,0,0,0,0,1,1,74.7,74.7,0.0,0,11.34,86.04,1,1,3348,False,True,False,False,False,False,False
0,76,0,0,95959,17269,1,0,0.0,0,1,26,0,0,0,0,0,0,0,0,1,25.8,25.8,0.0,20,0.0,45.8,1,1,3884,True,False,False,False,False,False,True
1,71,0,0,92027,48690,10,1,41.37,1,1,14,0,0,0,0,1,1,0,1,1,95.35,898.35,0.0,0,413.7,1312.05,1,1,5353,False,True,False,False,False,False,False
0,76,0,0,92028,42239,3,1,30.14,0,1,6,0,0,0,0,0,0,0,0,0,45.0,127.1,0.0,10,90.42,227.52,3,1,4145,True,False,False,False,False,False,False
1,77,1,0,96052,1845,12,1,6.97,0,1,19,0,0,0,0,0,1,0,1,1,80.45,950.2,0.0,0,83.64,1033.84,2,1,5374,False,True,False,False,False,False,False
1,74,0,0,96073,4931,2,1,6.51,0,1,11,0,1,0,0,0,0,0,1,1,74.7,165.4,0.0,0,13.02,178.42000000000002,2,1,2803,False,True,False,False,False,False,False
1,77,0,0,96084,459,1,1,49.6,1,1,20,0,0,1,0,1,0,0,0,1,88.8,88.8,0.0,10,49.6,148.4,1,1,3106,False,True,False,False,False,False,False
1,76,1,0,92130,28201,13,1,1.47,0,1,5,0,1,0,1,0,1,0,1,1,89.05,1169.35,0.0,0,19.11,1188.4599999999998,1,1,3861,False,True,False,False,False,False,False
0,77,0,0,92130,28201,23,1,31.17,0,1,23,0,1,0,0,1,1,0,1,1,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2,1,2740,False,True,False,False,False,False,False
0,80,1,0,92130,28201,17,1,36.82,1,1,6,1,0,1,0,0,0,0,1,1,85.35,1463.45,0.0,0,625.94,2089.3900000000003,1,1,3209,False,True,False,False,False,False,False
1,68,0,0,92130,28201,17,1,40.93,0,1,2,0,0,0,0,0,0,0,1,1,45.05,770.6,0.0,0,695.81,1466.41,1,1,3797,True,False,False,False,False,False,False
0,79,0,0,92130,28201,42,1,9.53,1,1,17,0,0,0,0,1,0,0,1,1,84.65,3541.35,0.0,0,400.26,3941.61,2,1,4871,False,True,False,False,False,False,False
1,65,0,0,92130,28201,1,1,42.3,0,1,16,0,0,0,0,1,0,0,1,1,79.1,79.1,0.0,0,42.3,121.4,3,1,5001,False,True,False,False,False,False,False
1,68,0,0,92121,4258,1,1,39.78,0,1,12,0,0,1,0,0,0,0,1,1,50.15,50.15,0.0,0,39.78,89.93,2,1,3438,False,False,False,False,False,False,True
0,72,0,0,90254,18693,1,1,34.51,0,1,15,0,0,0,0,0,0,0,1,1,69.6,69.6,0.0,0,34.51,104.11,1,1,3438,False,True,False,False,False,False,False
0,66,0,0,90620,44442,41,1,27.95,1,1,23,1,1,1,0,1,1,1,1,1,113.2,4689.5,0.0,0,1145.95,5835.45,1,1,3380,False,True,False,False,False,False,False
1,68,0,0,90621,33528,13,1,26.11,0,1,4,0,0,0,0,1,1,1,0,1,90.5,1201.15,29.84,140,339.43,1650.7400000000002,1,1,5394,False,True,False,False,False,False,False
1,69,1,0,90813,63136,32,1,5.99,1,1,23,0,0,0,0,0,1,1,1,1,85.0,2642.05,49.57,0,191.68,2784.16,1,1,4584,False,True,False,False,False,False,False
1,76,1,0,91030,23984,32,1,49.6,1,1,10,0,0,0,0,0,1,1,1,0,85.3,2661.1,0.0,0,1587.2,4248.3,1,1,2712,False,True,False,False,False,False,False
1,70,1,0,91202,21990,57,0,0.0,0,1,3,0,0,0,0,1,1,1,1,1,44.85,2572.95,12.07,0,0.0,2560.8799999999997,2,1,5172,False,False,False,False,False,False,False
1,71,0,0,91204,17015,1,1,15.28,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.28,60.38,2,1,4499,False,False,False,False,False,False,False
1,75,0,0,91335,68018,1,0,0.0,0,1,26,0,1,1,0,0,1,0,1,1,43.3,43.3,0.0,0,0.0,43.3,3,1,4972,True,False,False,False,False,False,False
0,67,0,0,91342,81986,38,1,26.1,0,1,27,1,1,0,0,0,0,0,1,1,57.15,2250.65,0.0,0,991.8,3242.4500000000003,1,1,3110,True,False,False,False,False,True,False
0,65,1,0,91502,11517,35,1,15.98,1,1,22,1,1,0,1,1,0,0,1,1,100.5,3653.35,0.0,0,559.3000000000001,4212.65,1,1,4745,False,False,False,False,False,False,False
0,80,0,0,91606,45358,1,1,15.24,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.24,60.34,1,1,2740,True,False,False,False,False,True,False
1,71,1,0,91710,75319,30,1,4.65,0,1,29,0,1,0,0,0,0,0,1,1,50.4,1527.5,0.0,0,139.5,1667.0,3,1,4795,True,False,False,False,False,False,False
0,70,0,0,91711,34716,5,1,12.27,0,1,20,0,0,0,0,0,1,0,1,0,78.95,378.4,0.0,0,61.349999999999994,439.75,3,1,4054,False,True,False,False,False,False,False
1,73,0,0,92117,51213,1,1,30.17,1,1,6,0,0,0,0,1,1,0,1,1,93.55,93.55,0.0,0,30.17,123.72,1,1,5536,False,True,False,False,False,False,False
1,78,1,0,92117,51213,58,1,49.38,1,1,19,1,1,1,0,1,1,0,1,1,108.85,6287.25,0.0,0,2864.04,9151.29,1,1,4739,False,True,False,True,False,False,False
0,76,0,0,92117,51213,16,1,17.51,1,1,7,0,0,0,0,1,0,0,1,1,84.75,1350.15,0.0,0,280.16,1630.3100000000002,2,1,5136,False,True,False,False,False,False,False
0,73,0,0,92117,51213,1,1,22.5,0,1,27,0,0,0,0,0,0,0,0,1,69.95,69.95,0.0,10,22.5,102.45,2,1,3208,False,True,False,False,False,False,False
0,68,1,0,92122,34902,5,1,47.28,1,1,11,0,1,0,0,0,0,0,0,1,81.0,371.65,40.64,10,236.4,577.41,1,1,4287,False,True,False,False,False,False,False
1,79,0,0,92239,964,21,1,42.27,0,1,7,0,0,1,0,1,1,0,1,1,96.8,2030.3,10.2,0,887.6700000000001,2907.77,1,1,4317,False,True,False,False,False,False,False
0,67,0,0,92027,48690,43,1,31.83,0,1,10,1,1,0,1,1,1,0,1,1,108.15,4600.7,0.0,0,1368.6899999999998,5969.389999999999,1,1,2833,False,True,False,False,False,True,False
0,69,1,0,92028,42239,32,1,33.74,1,1,6,0,0,0,0,1,1,0,1,1,93.2,2931.0,17.88,0,1079.68,3992.8,3,1,5247,False,True,False,False,False,False,False
0,72,0,0,92397,4253,1,1,18.2,0,1,13,0,0,0,0,0,0,0,1,1,70.55,70.55,0.0,0,18.2,88.75,3,1,2146,False,True,False,False,False,False,False
1,75,1,0,92555,12743,29,1,25.78,1,1,28,0,0,1,0,1,1,1,0,1,98.5,3004.15,37.55,40,747.62,3754.22,3,1,5137,False,True,False,False,False,False,False
1,67,1,0,92563,18311,13,1,31.7,1,1,6,0,0,0,0,1,1,1,1,1,95.25,1233.65,48.09,0,412.1,1597.66,1,1,2982,False,False,False,False,False,False,False
1,72,1,0,92567,7344,7,1,8.92,1,1,17,0,0,0,0,0,0,0,1,1,74.4,527.9,32.46,0,62.44,557.88,3,1,4969,False,True,False,False,False,True,False
0,68,0,0,92606,17621,2,1,21.57,1,1,28,0,0,1,0,0,1,1,1,1,88.55,179.25,0.0,0,43.14,222.39,1,1,3685,False,True,False,False,False,False,False
0,68,0,0,92625,13422,1,1,43.61,0,1,2,0,0,0,0,1,1,1,1,1,91.3,91.3,0.0,0,43.61,134.91,3,1,2371,False,True,False,False,False,False,False
1,75,1,0,92655,8660,7,1,16.05,0,1,22,0,0,0,0,0,0,0,1,1,70.1,467.55,20.23,0,112.35,559.67,2,1,3669,False,True,False,False,False,True,False
1,74,1,0,92661,4242,57,1,49.91,1,1,21,0,1,1,0,0,1,0,1,1,95.25,5427.05,12.59,0,2844.87,8259.33,2,1,6259,False,True,False,False,False,False,False
0,78,1,0,92663,22133,1,1,17.35,1,1,23,0,0,1,0,1,1,0,1,1,100.8,100.8,0.0,0,17.35,118.15,1,1,3128,False,True,False,False,False,False,False
1,66,1,0,92706,37879,17,1,1.05,0,1,8,0,1,0,0,0,0,0,1,1,76.45,1233.4,0.0,0,17.85,1251.25,1,1,3266,False,True,False,False,False,False,False
0,73,0,0,93022,6503,3,1,18.38,0,1,20,0,0,1,0,1,0,0,1,1,86.85,220.95,0.0,0,55.14,276.09,2,1,3561,False,True,False,False,False,False,False
1,79,1,0,93101,31727,66,1,28.86,1,1,25,0,0,1,0,1,1,0,1,1,99.5,6822.15,0.0,0,1904.76,8726.91,1,1,4479,False,True,False,False,False,True,False
1,69,1,0,93110,15757,69,1,48.88,1,1,4,0,1,1,1,1,1,0,1,1,108.4,7318.2,0.0,0,3372.7200000000003,10690.92,3,1,4708,False,True,False,False,True,False,False
0,65,1,0,92592,46171,15,1,44.13,1,1,3,0,0,1,1,0,0,0,0,1,83.05,1258.3,0.0,110,661.95,2030.25,3,1,2596,False,True,False,False,False,False,False
0,68,0,0,93270,5868,56,1,34.58,1,1,4,0,1,1,0,1,1,0,1,1,104.75,5510.65,0.0,0,1936.48,7447.129999999999,3,1,5605,False,True,False,True,False,False,False
0,79,0,0,92592,46171,21,1,21.15,1,1,9,0,0,0,0,1,1,0,1,1,94.25,1973.75,0.0,0,444.15,2417.9,2,1,4819,False,True,False,False,False,False,False
0,80,0,0,93426,1363,1,1,47.97,0,1,8,0,0,0,0,0,0,0,1,1,70.15,70.15,0.0,0,47.97,118.12,2,1,2825,False,True,False,False,False,False,False
1,77,1,0,93444,15405,32,1,7.92,1,1,3,0,1,1,0,1,1,0,1,0,106.35,3520.75,0.0,0,253.44,3774.19,2,1,4113,False,True,False,False,False,False,False
